X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613466.32;1266721.61;262.18;86;62;57;-0.11;-0.36;0.92;9;9
2613468.71;1266729.07;263.65;90;68;68;-0.26;-0.12;0.96;9;9
2613472.65;1266729.37;262.6;89;61;57;0.77;-0.02;0.63;79;9
2613467.73;1266719.25;261.28;85;67;65;-0.36;-0.83;0.43;9;9
2613465.69;1266727.23;262.05;104;90;107;-0.51;0.46;0.73;9;9
2613465.75;1266728.92;262.79;82;54;51;-0.15;0.33;0.93;9;9
2613465.69;1266728.05;262.88;81;53;50;-0.46;0.42;0.78;9;9
2613464.77;1266727.01;262.78;80;52;48;-0.56;0.39;0.73;9;9
2613468.53;1266719.13;261.33;84;62;60;-0.31;-0.22;0.92;9;9
2613469.7;1266729.07;263.71;84;63;65;-0.03;-0.15;0.99;79;9
2613466.86;1266729.9;262.95;82;54;51;-0.18;-0.84;0.52;9;9
2613466.8;1266729.1;262.92;91;64;61;-0.04;-0.1;0.99;9;9
2613470.81;1266722.12;262.0;78;55;52;0.38;0.09;0.92;9;9
2613472.71;1266730.91;262.48;85;65;66;0.76;-0.57;0.31;79;9
2613466.8;1266727.79;263.36;80;55;52;-0.11;-0.02;0.99;9;9
2613469.64;1266728.09;263.67;83;60;61;0.14;-0.09;0.99;9;9
2613467.73;1266726.8;263.44;98;76;82;-0.22;0.11;0.97;9;9
2613471.61;1266719.01;261.37;75;80;83;-0.56;0.55;0.62;9;9
2613464.83;1266728.5;262.6;84;57;54;-0.97;-0.09;0.21;9;9
2613471.91;1266728.62;262.69;78;54;51;0.32;-0.42;0.85;79;9
2613466.07;1266724.83;263.3;88;65;62;-0.14;0.05;0.99;9;9
2613468.96;1266726.61;263.67;80;57;56;0.46;-0.18;0.87;9;9
2613464.27;1266731.05;261.84;83;60;56;-0.38;0.38;0.84;72;9
2613469.02;1266724.6;263.15;82;60;59;0.45;-0.1;0.89;9;9
2613466.74;1266728.16;263.19;81;53;50;-0.18;0.65;0.74;9;9
2613464.1;1266725.54;262.6;83;58;54;-0.47;0.18;0.86;9;9
2613464.1;1266724.55;262.68;88;66;62;-0.37;-0.12;0.92;9;9
2613468.1;1266722.64;262.77;88;64;61;-0.11;-0.38;0.92;9;9
2613466.13;1266720.59;261.65;79;60;56;-0.03;-0.35;0.94;9;9
2613467.79;1266727.84;263.6;88;66;66;-0.12;0.08;0.99;9;9
2613469.09;1266718.52;261.06;89;76;74;-0.38;-0.92;0.04;9;9
2613469.21;1266729.07;263.71;85;64;66;0.0;-0.04;1.0;9;9
2613473.14;1266730.11;262.63;81;57;58;0.48;-0.11;0.87;79;9
2613468.09;1266730.53;262.66;111;99;122;-0.38;0.18;0.91;72;9
2613469.21;1266728.09;263.67;82;58;60;0.0;-0.03;1.0;9;9
2613470.19;1266732.27;263.71;88;63;64;0.0;0.01;1.0;72;9
2613461.38;1266724.96;261.54;77;57;54;-0.37;0.06;0.93;9;9
2613468.71;1266731.82;262.84;112;98;123;-0.41;-0.34;0.85;72;9
2613468.64;1266730.95;262.86;112;98;122;-0.31;0.06;0.95;72;9
2613465.51;1266728.24;262.77;81;53;51;-0.23;0.04;0.97;9;9
2613466.07;1266722.59;262.53;88;63;58;-0.18;-0.33;0.93;9;9
2613469.63;1266732.03;263.71;85;62;60;-0.32;0.15;0.94;72;9
2613463.36;1266723.05;261.7;86;60;54;-0.17;-0.22;0.96;9;9
2613463.85;1266726.98;261.86;78;57;55;-0.45;0.14;0.88;9;9
2613467.79;1266723.12;262.98;91;68;63;-0.11;-0.23;0.97;9;9
2613468.78;1266723.13;262.91;83;59;56;0.25;-0.28;0.93;9;9
2613469.63;1266732.28;263.65;85;62;59;-0.33;0.15;0.93;72;9
