Tree_ID,X,Y,Z,Crown_Diameter_m,height_m
185,2612316.7,1266141.4,283.01,3.99,8.36
186,2612291.2209859155,1266272.098169014,282.69,6.72,9.34
187,2612175.113300971,1266427.506893204,282.55,5.73,11.49
188,2612694.9252564106,1266011.1373076923,282.34,7.05,10.0
189,2612245.8930487805,1266461.0212195122,282.52,7.23,12.58
190,2612273.688913044,1266221.5210869566,282.54,5.41,8.07
191,2612154.555584416,1266464.7842857144,282.51,7.0,11.97
192,2612245.5527906977,1266236.3374418605,282.32,6.41,8.31
193,2612331.541234568,1266741.094691358,282.27,7.18,14.23
194,2612361.7721656053,1266203.7005732486,282.34,7.07,7.85
195,2612336.068082192,1266001.206986301,282.86,4.82,17.25
196,2612386.7471428574,1266039.7348351649,282.89,5.38,16.98
197,2612285.072692308,1266204.1421153846,282.36,5.75,7.69
198,2612359.4971428574,1266113.650357143,283.2,4.22,9.17
