Tree_ID,X,Y,Z,Height_m,Crown_Diameter_m
98,2612547.161680162,1266192.7610828457,275.9057764932559,7.69,5.62
99,2612597.153093715,1266089.80308087,272.98067394095,7.73,4.92
100,2612606.877410798,1266090.7819775755,273.35723751274173,8.14,4.16
101,2612618.4717383725,1266092.3612491332,272.99007980568996,8.1,6.49
102,2612637.8032179116,1266094.1714824925,272.98289105058427,6.59,6.83
103,2612605.430330519,1266157.622790162,274.70380476556437,6.76,4.32
104,2612614.903952608,1266160.7408562773,274.6397324159033,6.54,4.48
105,2612627.443970767,1266161.66044661,273.51376776289044,6.7,5.99
106,2612655.759432651,1266157.693560053,272.8197345719973,6.62,6.47
107,2612641.3492542324,1266172.3942465293,273.53598767334444,6.14,7.6
108,2612672.460659898,1266161.0633840961,273.6028426395938,7.01,4.22
109,2612667.359448128,1266179.5628501426,273.51063281824827,6.54,7.74
110,2612685.6950860047,1266178.2387332816,273.5124656820131,8.25,7.61
111,2612696.9571144357,1266181.920970151,272.783445273632,5.03,4.12
112,2612716.085942125,1266181.0892475867,274.0819614147912,5.06,5.87
113,2612704.503545754,1266181.7099509798,273.6278104575159,4.31,3.92
114,2612895.5404549777,1266041.0205300143,275.93351476893685,10.07,8.51
115,2612918.5996859316,1266033.2608354616,275.1223872959876,9.0,9.45
116,2612870.189144481,1266056.935036574,276.61464606044075,9.84,7.32
117,2612907.973861177,1266054.6421800929,275.3395204906613,7.64,6.78
118,2612895.909057737,1266052.8275710442,277.3747203110976,10.27,5.65
119,2612884.182944171,1266065.4325150005,275.89852791878064,7.79,5.02
120,2612728.4470863314,1266179.8372661856,273.4271223021582,4.73,4.39
121,2612737.246171983,1266180.0681830796,274.1572260748962,4.71,4.24
122,2612745.0968380715,1266178.665875275,274.51308533916864,5.75,4.81
123,2612753.065171939,1266177.8802338387,275.9136038514444,5.28,3.9
124,2612762.533611367,1266177.5251787363,275.2763794683773,6.62,4.22
125,2612771.8317593685,1266173.4164079358,275.532505390254,7.94,5.39
126,2612780.4656170653,1266176.2586116155,276.0433030852988,6.16,4.31
127,2612790.4963678527,1266175.4384080376,275.4944667697066,4.93,3.94
128,2612803.55140477,1266174.1710354718,275.92535843591696,7.22,5.54
129,2612814.3737386083,1266171.8986626144,275.1344680851064,6.85,4.1
130,2612822.8263206026,1266171.2877862607,276.20743511450377,6.97,3.79
131,2612831.569580358,1266170.021463661,276.71363357215927,6.53,4.13
132,2612841.2372297244,1266169.6608397714,275.6477123552125,5.56,4.39
133,2612880.3824934936,1266083.3695990897,276.0940123859193,9.86,9.3
134,2612904.722715892,1266076.3442716869,277.76197554635587,11.68,8.44
135,2612907.586444345,1266098.8194732778,275.8841696113084,8.67,8.31
136,2612857.29960071,1266131.3891237818,273.0091370896188,9.4,6.39
137,2612882.766428107,1266108.9401886808,273.85752765126824,5.67,4.83
