Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
3497,2613293.54625,1266645.72625,266.65000003814697,7.79,5.1933336,3.19,2.5966668,0.5316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3498,2613452.0500000003,1266303.21,260.92000019073487,5.2,3.4666667,2.82,1.7333333,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3499,2612205.201111112,1266430.5922222224,270.68,9.25,6.166667,3.78,3.0833335,0.6299999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3500,2613477.095128205,1266260.634102564,259.939999961853,3.46,2.3066669,3.52,1.1533334,0.5866666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3501,2612231.9640740743,1266477.2922222223,270.0000004577637,9.48,6.3199997,2.93,3.1599998,0.48833333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3502,2613436.420769231,1266905.9315384617,251.1500001907349,10.2,6.8,4.55,3.4,0.7583333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3503,2613317.6471428573,1266368.3271428572,269.059999961853,2.96,1.9733334,3.34,0.9866667,0.5566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3504,2612195.2763636364,1266507.3654545457,269.41999977111817,11.26,7.506667,2.65,3.7533336,0.44166666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3505,2613466.374375,1266289.023125,260.0300000953674,5.35,3.5666666,3.19,1.7833333,0.5316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3506,2613425.528888889,1266791.3477777778,250.63999923706052,27.7,18.466667,3.39,9.233334,0.565,42.0,49.0,46.0,139.0,69.0,19.0
3507,2612132.503636364,1266458.7972727274,270.7400003051758,10.07,6.713333,2.65,3.3566666,0.44166666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3508,2613423.067419355,1266656.8280645162,256.0299997711182,22.76,15.173334,3.14,7.586667,0.5233333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3509,2612419.996060606,1266963.0851515152,265.8899998474121,6.34,4.226667,3.24,2.1133335,0.54,42.0,49.0,46.0,139.0,69.0,19.0
3510,2613482.79,1266196.27,260.1499997711182,8.76,5.84,2.82,2.92,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3511,2613490.425087719,1266289.4121052632,259.42000003814695,2.79,1.86,4.26,0.93,0.71,42.0,49.0,46.0,139.0,69.0,19.0
3512,2613471.051764706,1266906.2832352945,251.77999954223634,9.52,6.3466673,4.65,3.1733336,0.775,42.0,49.0,46.0,139.0,69.0,19.0
3513,2613472.14,1266311.778333333,260.02999994277957,3.94,2.6266668,3.39,1.3133334,0.565,42.0,49.0,46.0,139.0,69.0,19.0
3514,2612267.579655173,1266465.345862069,269.5200001144409,9.12,6.08,3.04,3.04,0.5066666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3515,2612233.6291304347,1266822.265652174,267.0999996948242,23.93,15.953334,2.71,7.976667,0.45166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3516,2612896.120769231,1266969.5315384616,265.33999989509584,3.39,2.2600002,2.88,1.1300001,0.48,42.0,49.0,46.0,139.0,69.0,19.0
3517,2612264.7763636364,1266394.9563636363,271.31999984741213,4.84,3.226667,2.65,1.6133335,0.44166666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3518,2613293.5945454547,1266835.5472727274,262.3299998474121,12.59,8.393333,2.65,4.1966667,0.44166666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3519,2613047.956666667,1266872.72,266.03,7.75,5.166667,3.09,2.5833335,0.5149999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3520,2613234.4233333333,1266516.403333333,267.5000001335144,4.39,2.9266667,3.09,1.4633334,0.5149999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3521,2613435.9660869567,1266811.3526086956,250.75000011444092,13.62,9.08,3.83,4.54,0.6383333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3522,2613059.947692308,1266882.5892307693,266.0900001144409,5.62,3.7466667,2.88,1.8733333,0.48,42.0,49.0,46.0,139.0,69.0,19.0
3523,2613429.35,1266535.03,265.7699998283386,4.32,2.88,2.82,1.44,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3524,2612844.8323076926,1266956.7046153846,265.0900001907349,6.45,4.3,2.88,2.15,0.48,42.0,49.0,46.0,139.0,69.0,19.0
3525,2613435.782857143,1266073.403333333,262.6299993133545,17.28,11.52,3.66,5.76,0.61,42.0,49.0,46.0,139.0,69.0,19.0
3526,2613414.657857143,1266796.8735714287,250.69000022888184,27.49,18.326668,2.99,9.163334,0.49833333333333335,42.0,49.0,46.0,139.0,69.0,19.0
3527,2613114.011212121,1266891.2366666668,265.7600001525879,6.16,4.1066666,3.24,2.0533333,0.54,42.0,49.0,46.0,139.0,69.0,19.0
3528,2613486.9695454547,1266306.2177272728,259.53,3.25,2.1666667,3.74,1.0833334,0.6233333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3529,2612638.433478261,1266093.3526086956,267.4700002670288,11.03,7.3533335,2.71,3.6766667,0.45166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3530,2613416.5275000003,1266811.4825000002,250.6499993133545,16.03,10.686667,3.57,5.3433337,0.595,42.0,49.0,46.0,139.0,69.0,19.0
3531,2612702.685454545,1266046.774545455,270.95000034332276,10.36,6.9066668,2.65,3.4533334,0.44166666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3532,2612133.173783784,1266426.8267567568,271.3099999237061,9.42,6.28,3.43,3.14,0.5716666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3533,2613002.3323076926,1266904.6853846156,265.9000000190735,1.77,1.1800001,2.88,0.59000003,0.48,42.0,49.0,46.0,139.0,69.0,19.0
3534,2612214.0300000003,1266405.9300000002,271.2900003814697,8.15,5.4333334,2.82,2.7166667,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3535,2612650.79,1266094.32,267.7199998092651,9.8,6.533334,3.09,3.266667,0.5149999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3536,2612868.567419355,1266199.311935484,271.24000003814695,7.04,4.6933336,3.14,2.3466668,0.5233333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3537,2612978.573333333,1266893.7533333334,266.2099999046326,5.4,3.6000001,3.09,1.8000001,0.5149999999999999,42.0,49.0,46.0,139.0,69.0,19.0
3538,2613219.847142857,1266866.5128571428,266.2000000524521,1.68,1.12,3.34,0.56,0.5566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3539,2613480.501111111,1266301.208888889,259.6100000572205,3.31,2.2066667,3.39,1.1033334,0.565,42.0,49.0,46.0,139.0,69.0,19.0
3540,2612450.74483871,1266085.747419355,273.15999961853026,8.35,5.566667,3.14,2.7833335,0.5233333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3541,2613026.83,1266851.29,265.91000045776366,10.98,7.3199997,2.82,3.6599998,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3542,2613114.560940171,1266996.6298290598,-inf,inf,inf,6.1,inf,1.0166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3543,2612967.2757142857,1266902.0557142857,266.000000038147,5.04,3.3600001,3.34,1.6800001,0.5566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3544,2613337.7603703705,1266814.9403703704,253.05999938964845,19.61,13.073334,2.93,6.536667,0.48833333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3545,2612944.1486206898,1266917.3803448277,265.73000003814695,5.54,3.6933334,3.04,1.8466667,0.5066666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3546,2612506.0500000003,1266088.23,263.28000076293944,17.55,11.7,2.82,5.85,0.47,42.0,49.0,46.0,139.0,69.0,19.0
3547,2613044.9066666667,1266869.8533333335,265.9300003051758,10.07,6.713333,3.09,3.3566666,0.5149999999999999,42.0,49.0,46.0,139.0,69.0,19.0
