X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613492.16;1266965.23;268.02;65;47;46;-0.54;0.54;0.64;45;20
2613499.81;1266960.29;270.0;92;71;74;-0.18;0.01;0.98;61;20
2613497.64;1266967.16;269.0;68;49;49;0.11;0.34;0.93;45;20
2613491.3;1266964.12;268.04;70;50;48;-0.49;0.35;0.8;45;20
2613491.98;1266965.17;267.96;64;47;43;-0.62;0.48;0.62;45;20
2613499.19;1266955.36;268.44;89;65;66;0.04;-0.34;0.94;61;20
2613492.66;1266960.26;267.57;85;69;66;-0.71;-0.7;-0.04;45;20
2613495.68;1266957.42;267.62;94;79;77;-0.66;-0.74;-0.12;61;20
2613498.52;1266958.11;269.05;85;62;61;-0.05;-0.09;0.99;61;20
2613494.2;1266963.01;269.58;105;81;77;0.17;-0.5;0.85;45;20
2613493.4;1266964.11;269.76;108;83;79;-0.46;-0.38;0.81;45;20
2613496.91;1266963.34;268.97;80;61;63;-0.66;0.62;0.42;45;20
2613492.78;1266965.15;268.45;67;48;46;-0.52;0.46;0.71;45;20
2613499.25;1266958.17;268.99;85;62;61;-0.07;-0.19;0.98;61;20
2613499.07;1266961.3;269.31;86;64;64;-0.61;-0.11;0.78;45;20
2613498.2;1266961.74;269.02;84;64;65;-0.5;-0.44;0.74;45;20
2613497.53;1266959.85;268.64;89;67;66;-0.56;0.21;0.8;61;20
2613493.58;1266960.97;268.27;91;66;62;-0.3;-0.28;0.91;45;20
2613497.4;1266965.6;269.55;71;53;53;0.15;0.28;0.95;45;20
2613495.56;1266959.0;268.3;86;61;55;-0.16;-0.17;0.97;61;20
2613496.71;1266968.47;268.57;72;51;46;-0.39;0.36;0.85;45;20
2613498.27;1266959.71;268.94;86;63;60;-0.08;-0.07;0.99;61;20
2613497.41;1266963.29;270.26;85;63;61;0.14;0.05;0.99;45;20
2613491.24;1266964.68;267.76;62;43;40;-0.59;0.58;0.57;45;20
2613494.01;1266966.45;268.37;64;45;41;-0.46;0.49;0.74;45;20
2613497.78;1266957.15;268.28;82;63;62;-0.45;0.39;0.8;61;20
2613499.36;1266967.2;268.07;71;56;59;0.45;0.71;0.54;45;20
2613496.91;1266964.26;269.25;85;62;63;-0.35;-0.56;0.75;45;20
2613497.89;1266966.17;269.21;68;51;51;0.35;0.42;0.84;45;20
2613496.91;1266958.31;268.45;84;61;60;-0.3;-0.06;0.95;61;20
2613493.03;1266961.15;268.22;93;70;66;-0.2;-0.26;0.94;45;20
2613494.45;1266965.41;269.5;73;50;49;-0.06;0.29;0.96;45;20
2613494.75;1266966.68;268.69;67;46;43;-0.38;0.56;0.74;45;20
2613495.0;1266961.21;268.34;101;79;76;-0.65;0.24;0.72;45;20
2613499.56;1266955.36;268.5;90;67;67;-0.08;-0.21;0.97;61;20
2613493.58;1266964.11;268.28;87;67;68;0.01;-0.43;0.9;45;20
2613492.6;1266962.2;268.14;86;65;64;-0.35;-0.07;0.94;45;20
2613492.41;1266961.96;268.07;86;65;66;-0.13;-0.27;0.95;45;20
2613497.9;1266955.18;268.38;87;71;70;-0.94;-0.34;-0.04;61;20
2613497.59;1266956.35;268.37;82;62;60;-0.25;-0.27;0.93;61;20
2613499.49;1266965.0;269.21;81;68;77;0.8;-0.02;0.61;45;20
2613500.61;1266958.48;269.12;88;85;94;0.99;0.14;-0.02;61;20
2613494.08;1266960.29;268.24;80;56;51;-0.13;-0.42;0.9;45;20
2613499.31;1266961.11;269.48;85;61;60;-0.53;-0.04;0.85;61;20
2613499.49;1266964.75;269.2;81;68;77;0.53;0.16;0.84;45;20
2613497.04;1266959.36;268.56;89;65;64;-0.46;0.36;0.81;61;20
2613490.56;1266962.4;267.73;76;56;55;-0.66;-0.72;0.19;45;20
2613499.13;1266959.82;269.31;85;58;55;-0.31;0.01;0.95;61;20
2613491.86;1266962.15;267.96;87;66;66;-0.39;-0.2;0.9;45;20
2613495.31;1266959.73;268.33;83;60;58;0.0;-0.13;0.99;61;20
2613493.7;1266965.63;268.71;66;46;42;-0.37;0.67;0.64;45;20
2613500.18;1266957.91;269.41;84;64;62;-0.36;-0.04;0.93;61;20
2613498.45;1266963.32;269.64;81;61;61;-0.54;0.05;0.84;45;20
2613498.45;1266965.74;269.25;67;51;53;0.23;0.47;0.85;45;20
2613493.89;1266965.69;268.77;64;44;41;-0.28;0.62;0.73;45;20
2613497.46;1266965.91;269.44;71;50;48;0.3;0.27;0.91;45;20
2613492.41;1266965.98;267.56;59;43;39;-0.51;0.46;0.72;45;20
2613494.32;1266958.79;267.38;97;83;79;-0.68;-0.72;-0.15;61;20
