Tree_ID,X,Y,Height_m,Crown_Diameter_m
143,2612179.6699993913,1266114.7400037867,284.72,1.89
144,2612340.8224910856,1266148.9792064445,284.34,4.89
145,2612288.0882285577,1266008.1160454534,284.27,6.18
146,2612110.0225456874,1266635.1508834164,284.62,4.15
147,2612326.8547545257,1266172.7467178467,284.27,7.1
148,2612923.590375567,1267157.0934520627,284.62,5.04
149,2612211.280783705,1266135.3184351593,285.25,2.01
150,2612352.255095545,1266168.4906047483,284.32,5.75
151,2612273.2649146453,1266135.7018681935,284.87,2.17
152,2612364.0940378527,1266007.3481768637,284.76,2.88
153,2612318.5526152854,1266036.355070012,284.48,4.9
154,2612411.5666361623,1266075.6469544594,284.48,4.21
155,2612344.922593731,1266001.9404754848,284.37,4.11
156,2612120.2647538553,1266624.4004390547,284.22,8.44
157,2612202.565999391,1266081.3746704534,284.41,5.46
158,2612111.2469109353,1266565.8269603085,284.2,7.29
159,2612202.2290903004,1266213.4407613624,284.81,2.29
160,2612317.326275542,1266039.672012155,284.41,4.36
161,2612185.4526524525,1266591.6647486847,284.24,3.95
162,2612175.630810202,1267153.9629767598,291.71,2.43
163,2612341.4852886475,1266002.6800864313,284.27,3.1
164,2612267.1579623544,1266125.2168556387,285.08,2.07
165,2612235.6533327247,1266085.9608371202,284.56,3.78
166,2612281.6084609297,1266126.632311479,284.32,2.27
167,2612147.259999391,1266621.6100037869,284.5,1.99
168,2612342.699901352,1266004.6248077084,284.29,2.85
169,2612296.1882426343,1266100.7433821652,284.91,2.43
170,2612831.782876421,1267139.6767787288,284.29,5.86
171,2612184.192615195,1266588.3312844406,284.17,5.4
172,2612233.0315378527,1266085.4900037867,284.47,2.88
173,2612142.969776674,1266550.3079325173,284.32,5.98
174,2612108.7691144357,1266534.0917736983,284.76,3.0
175,2612146.2934561814,1266619.5967939103,284.34,5.68
176,2612415.2329828166,1266075.757959588,284.48,3.8
177,2612993.5261637745,1267073.2475380334,284.42,5.39
178,2612204.2366660577,1266073.33896212,285.11,1.95
179,2612109.6185605424,1266522.515183643,284.46,3.33
180,2612449.230621153,1266028.1635789163,284.36,3.92
181,2612360.9647362335,1266008.4593020324,284.59,3.01
182,2612438.6994046774,1266030.6072945357,284.07,6.01
183,2612112.2856482463,1266535.698019054,284.67,3.23
184,2612342.7366660577,1266000.346325626,284.28,2.63
185,2612299.947777169,1266012.4844482313,284.46,2.68
186,2612112.9962288993,1266542.5637742786,284.05,3.12
187,2612337.830525707,1266179.1084248393,284.3,2.75
188,2612267.5813630274,1266013.7968219686,284.83,1.32
189,2612204.944999391,1266074.0681287867,285.38,1.13
190,2612109.742347876,1266536.7570492413,284.77,3.24
191,2612115.7639096477,1266418.3457730175,283.95,7.05
192,2612413.2051345264,1266078.6764902733,284.4,3.84
193,2612357.19701552,1266070.1633908835,284.24,3.14
194,2612233.5830202247,1266087.89364962,284.6,2.76
195,2612233.7952741166,1266142.1465971933,284.67,2.69
196,2612169.1274528075,1266692.802115588,284.16,3.58
197,2612157.9749289686,1266690.528736181,284.46,2.38
198,2612111.7312897136,1266544.9819392706,284.04,4.44
199,2612192.180525707,1266158.8049160675,284.02,4.76
200,2612128.5561509947,1266677.8755722998,283.97,5.22
201,2612262.092726664,1266142.1150037867,284.49,1.87
202,2612140.6737729763,1266673.3752239125,284.02,3.56
203,2612120.4692531223,1266655.676570951,284.78,2.31
204,2612300.6737227957,1266010.303833574,284.39,2.74
205,2612543.3605791014,1266041.6740617577,283.83,5.24
206,2612921.0824993914,1267155.4691704535,284.47,2.19
207,2612111.5769438357,1266682.5386148978,284.5,1.69
208,2612449.0045985472,1266025.1492864871,284.23,4.34
209,2612363.9511469323,1266009.6457414916,284.71,2.2
210,2612278.7290903004,1266087.649094696,284.46,3.5
211,2612313.760170331,1266125.1598755815,283.77,4.32
212,2612355.338292074,1266069.8558574454,284.12,2.55
213,2612111.4914279627,1266522.9257180726,284.35,1.67
214,2612156.1405122117,1266691.2528242995,284.78,1.76
215,2612262.5398269775,1266139.6451762004,284.58,3.04
216,2612235.6845827247,1266142.54208712,284.39,1.38
217,2612105.5812775865,1266678.6854925086,283.74,3.25
218,2612281.421851243,1266087.8918556387,284.19,3.28
219,2612145.7993808347,1266679.3714470856,284.02,7.35
220,2612283.5316782235,1266195.0885439327,283.88,3.3
221,2612152.826926343,1266572.2311876658,283.73,5.62
222,2612113.8115988537,1266529.027302174,283.7,7.69
223,2612302.225554947,1266011.5900037868,284.48,1.89
224,2612265.307068357,1266138.9037968903,284.26,3.04
225,2612334.5449993913,1266096.7826508456,283.81,3.68
226,2612302.726249391,1266117.3746191713,283.73,4.07
227,2612127.569999391,1266654.654637933,284.65,1.81
228,2612107.649544846,1266523.5013674232,284.26,1.87
229,2612168.4576398404,1266690.0770824384,284.02,2.66
230,2612445.1542883823,1266014.145393695,283.73,5.89
231,2612195.454751164,1266158.5449683256,283.97,3.35
