Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
3115.0,2612656.0818072287,1266982.0137349395,258.1499998474121,9.59,6.3933334,5.14,3.1966667,0.8566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3116.0,2613424.1105194804,1266657.9934199136,256.02999996185304,11.71,7.806667,8.57,3.9033334,1.4283333333333332,42.0,49.0,46.0,139.0,69.0,19.0
3117.0,2612585.590526316,1266987.4089473684,260.5499998664856,7.11,4.7400002,3.48,2.3700001,0.58,42.0,49.0,46.0,139.0,69.0,19.0
3118.0,2613306.01,1266807.15,257.76000038146975,9.9,6.6,3.99,3.3,0.665,42.0,49.0,46.0,139.0,69.0,19.0
3119.0,2613390.3094117646,1266608.935882353,256.8099996185303,10.85,7.2333336,7.36,3.6166668,1.2266666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3120.0,2612588.424871795,1266979.7594871796,260.63999977111814,7.01,4.6733336,3.52,2.3366668,0.5866666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3121.0,2613475.280326797,1266570.625751634,257.6399997329712,9.97,6.646667,6.98,3.3233335,1.1633333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3122.0,2613363.719473684,1266646.1378947368,256.70999965667727,10.89,7.26,5.5,3.63,0.9166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3123.0,2613387.9716666667,1266604.105,257.71000007629397,9.83,6.5533333,4.37,3.2766666,0.7283333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3124.0,2613405.784320988,1266716.005925926,255.63000007629392,11.83,7.886667,10.16,3.9433334,1.6933333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3125.0,2613405.4224528302,1266592.4479245285,256.98999969482423,10.43,6.953334,4.11,3.476667,0.685,42.0,49.0,46.0,139.0,69.0,19.0
3126.0,2613249.191904762,1266905.1800000002,256.68999965667723,10.89,7.26,5.78,3.63,0.9633333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3127.0,2613424.237142857,1266044.4371428571,261.63000019073485,5.7,3.8,2.11,1.9,0.3516666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3128.0,2612608.566170213,1266988.3034042553,259.48999979019163,7.78,5.186667,3.87,2.5933335,0.645,42.0,49.0,46.0,139.0,69.0,19.0
3129.0,2613483.1523880595,1266568.59119403,257.3399996948242,9.93,6.6200004,6.53,3.3100002,1.0883333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3130.0,2612593.946455696,1266986.7065822785,260.2299997711182,7.01,4.6733336,5.01,2.3366668,0.835,42.0,49.0,46.0,139.0,69.0,19.0
3131.0,2612512.451428572,1266965.0085714287,259.3999999427795,7.69,5.126667,2.11,2.5633335,0.3516666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3132.0,2612655.7514285715,1266988.0014285715,258.02000030517576,9.07,6.0466666,4.72,3.0233333,0.7866666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3133.0,2612590.08625,1266984.68625,260.73000007629395,6.33,4.2200003,5.05,2.1100001,0.8416666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3134.0,2613400.079579832,1266691.441344538,256.34000034332274,10.61,7.0733333,8.7,3.5366666,1.4499999999999997,42.0,49.0,46.0,139.0,69.0,19.0
3135.0,2613472.11880597,1266650.7404477613,257.060000038147,9.79,6.5266666,6.53,3.2633333,1.0883333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3136.0,2613456.1651758794,1266621.107638191,256.9599997711182,9.76,6.506667,7.96,3.2533336,1.3266666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3137.0,2613469.323548387,1266676.3541935484,257.03999969482425,9.68,6.453334,7.02,3.226667,1.17,42.0,49.0,46.0,139.0,69.0,19.0
3138.0,2613414.854,1266706.084,255.8899995803833,10.81,7.206667,6.31,3.6033335,1.0516666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3139.0,2613320.415714286,1266786.5264285714,255.91999954223633,10.77,7.1800003,5.17,3.5900002,0.8616666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3140.0,2613447.561372549,1266698.4362091504,256.2500004196167,10.44,6.96,6.98,3.48,1.1633333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3141.0,2612640.3175,1266973.136818182,259.1599997711182,7.51,5.006667,5.29,2.5033336,0.8816666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3142.0,2613415.8412676053,1266697.730234742,255.88999954223635,10.77,7.1800003,8.23,3.5900002,1.3716666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3143.0,2613411.915714286,1266709.2407142858,255.73000038146972,10.9,7.2666664,2.99,3.6333332,0.49833333333333335,42.0,49.0,46.0,139.0,69.0,19.0
3144.0,2613459.1728571425,1266654.8942857145,256.89000022888183,9.74,6.4933333,4.72,3.2466667,0.7866666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3145.0,2613421.680458716,1266626.8888685016,256.4200004196167,10.19,6.793333,10.2,3.3966665,1.6999999999999997,42.0,49.0,46.0,139.0,69.0,19.0
3146.0,2613424.6672340427,1266702.6597872342,255.83000026702882,10.78,7.1866665,7.74,3.5933332,1.29,42.0,49.0,46.0,139.0,69.0,19.0
3147.0,2613438.3066304345,1266697.0147826087,255.61999965667724,10.89,7.26,7.65,3.63,1.275,42.0,49.0,46.0,139.0,69.0,19.0
3148.0,2613479.8553086417,1266668.2096296295,257.24000022888185,9.24,6.16,7.18,3.08,1.1966666666666665,42.0,49.0,46.0,139.0,69.0,19.0
3149.0,2612530.862075472,1266978.800754717,254.9999996185303,11.35,7.566667,9.18,3.7833335,1.5299999999999998,42.0,49.0,46.0,139.0,69.0,19.0
3150.0,2612648.0744444444,1266984.292962963,258.5899997711182,7.76,5.1733336,4.15,2.5866668,0.6916666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3151.0,2612430.6754545453,1266995.3462337663,254.11000045776365,12.23,8.153334,4.95,4.076667,0.825,42.0,49.0,46.0,139.0,69.0,19.0
3152.0,2613424.596480447,1266709.8090502794,255.81999977111815,10.51,7.006667,7.55,3.5033336,1.2583333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3153.0,2612648.3691304345,1266987.8082608697,258.62000019073486,7.7,5.133333,5.41,2.5666666,0.9016666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3154.0,2613401.6696825395,1266598.199047619,256.74999980926515,9.55,6.366667,4.48,3.1833334,0.7466666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3155.0,2613498.0080487803,1266337.2263414634,260.1200001335144,6.14,4.0933332,3.61,2.0466666,0.6016666666666666,42.0,49.0,46.0,139.0,69.0,19.0
