Tree_ID,X,Y,Z,Crown_Diameter_m
173.0,2612362.386756757,1266104.444864865,282.98,3.43
174.0,2612730.8633333333,1266075.3752380954,282.98,5.78
175.0,2612617.2091666665,1266003.721666667,282.97,6.18
176.0,2612192.018888889,1266221.9966666668,282.96,4.79
177.0,2612228.7939344263,1266193.875081967,282.96,4.41
178.0,2612404.3713793103,1266128.5110344829,282.94,5.26
179.0,2612753.0175739643,1266054.5415384616,282.94,7.33
180.0,2612308.298831169,1266091.644935065,282.91,4.95
181.0,2612732.306056338,1266040.2032394367,282.9,6.72
182.0,2612707.2608411214,1266081.9444859817,282.88,5.84
183.0,2612318.800886076,1266164.504050633,282.87,5.01
184.0,2612103.205342465,1266167.860821918,282.86,4.82
185.0,2612701.6071929825,1266095.5080701755,282.84,9.52
186.0,2612806.922397661,1266043.4264912282,282.83,10.43
187.0,2612257.7654166664,1266250.850833333,282.82,5.53
188.0,2612741.639090909,1266030.6254545455,282.82,7.25
189.0,2612775.4043055554,1266024.2744444446,282.82,6.77
190.0,2612250.4503125,1266192.8690625,282.81,4.51
191.0,2612698.03530303,1266029.492878788,282.8,6.48
192.0,2612773.01,1266014.34,282.8,3.99
193.0,2612334.405280899,1266170.9170786515,282.79,5.32
194.0,2612531.299491525,1266004.3172881356,282.79,4.33
195.0,2612760.38,1266090.7915384616,282.79,2.88
196.0,2612195.665087719,1266377.1764912282,282.78,6.02
197.0,2612341.375454545,1266077.9890909093,282.78,4.18
198.0,2612706.695359477,1266087.740130719,282.78,6.98
199.0,2612343.0845454545,1266079.4436363636,282.77,1.87
200.0,2612486.718983051,1266131.2367796612,282.76,6.13
201.0,2612725.212644628,1266004.9229752067,282.75,6.21
202.0,2612774.0228571426,1266058.7636734694,282.75,5.59
203.0,2612842.7684615385,1266087.8815384617,282.75,10.17
204.0,2612679.59875,1266030.6685416668,282.73,5.53
205.0,2612724.237843137,1266084.241764706,282.73,5.7
206.0,2612766.8735897434,1266036.0094871796,282.73,4.98
207.0,2612767.578979592,1266054.7024489795,282.73,3.95
208.0,2612335.255,1266126.505,282.7,4.37
209.0,2612485.1095918366,1266128.692244898,282.7,3.95
210.0,2612423.7308771927,1266099.680877193,282.69,6.02
211.0,2612481.3781751823,1266135.7259854015,282.69,6.6
212.0,2612623.0146153844,1266025.0223076923,282.68,2.88
213.0,2612419.306691729,1266116.0687218043,282.67,6.51
214.0,2612305.5977419354,1266175.6122580646,282.66,4.44
215.0,2612108.116111111,1266354.8966666667,282.63,7.57
216.0,2612155.9950306746,1266227.4787730062,282.63,7.2
217.0,2612392.8327027024,1266138.908828829,282.63,5.94
218.0,2612438.8064705883,1266108.311092437,282.63,6.15
219.0,2612390.199506726,1266302.8983856502,282.62,8.43
220.0,2612763.770350877,1266007.834385965,282.62,4.26
221.0,2612832.5195027622,1266073.2402209945,282.61,7.59
222.0,2612177.6408695653,1266296.150652174,282.58,5.41
223.0,2612683.354137931,1266007.0886206897,282.58,6.08
224.0,2612326.32,1266087.1,282.57,3.99
225.0,2612697.9578145696,1266051.7852980134,282.55,6.93
226.0,2612722.907777778,1266067.431851852,282.55,4.15
227.0,2612759.499047619,1266032.5323809525,282.55,3.66
228.0,2612992.203033708,1266191.2401123596,282.55,7.53
229.0,2612410.635617977,1266123.3328089889,282.54,5.32
230.0,2612760.549254658,1266039.4992546584,282.54,7.16
231.0,2612689.732631579,1266058.1221052632,282.53,7.78
232.0,2612744.7465803106,1266103.9504663213,282.52,7.84
233.0,2612650.005,1266033.58,282.51,4.65
234.0,2612748.8004545453,1266037.5515909093,282.51,5.29
235.0,2612115.666585366,1266298.567804878,282.5,3.61
236.0,2612264.4833834586,1266232.1439097745,282.49,6.51
237.0,2612411.915714286,1266110.2744444446,282.49,6.33
238.0,2612424.086349206,1266111.8141269842,282.47,6.33
239.0,2612902.342765957,1266238.2821276595,282.47,5.47
240.0,2612142.7657827474,1266547.2365495209,282.46,9.98
241.0,2612754.72375,1266059.48625,282.46,2.26
242.0,2612776.283846154,1266068.9287179487,282.46,7.88
243.0,2612785.144925373,1266040.6770149255,282.45,4.62
244.0,2612710.980241546,1266018.6886956522,282.43,8.12
245.0,2612738.2388235293,1266109.2535294115,282.43,7.36
246.0,2612390.612142857,1266083.0621428571,282.42,2.99
247.0,2612312.003015873,1266169.595873016,282.4,4.48
248.0,2612752.175977011,1266039.344367816,282.39,5.26
249.0,2612320.023939394,1266139.0193939395,282.37,3.24
250.0,2612386.5,1266131.27,282.36,5.64
251.0,2612689.7270149253,1266003.512835821,282.35,4.62
252.0,2612117.248902439,1266424.9641463414,282.34,7.23
253.0,2612385.9346357617,1266186.3482119206,282.34,6.93
254.0,2612726.7085714284,1266069.3085714288,282.34,4.72
255.0,2612431.424776119,1266103.0426865672,282.32,6.53
256.0,2612782.0793670886,1266046.564177215,282.31,7.09
257.0,2612959.4624022343,1266298.3034636872,282.31,7.55
258.0,2612733.668011696,1266066.0390643275,282.3,7.38
259.0,2612300.4510526317,1266598.1747368425,282.29,7.78
260.0,2612398.7366666663,1266120.826666667,282.28,4.89
261.0,2612734.9721052637,1266024.4388516748,282.28,8.16
262.0,2612754.034255319,1266108.93106383,282.28,3.87
263.0,2612151.2815151517,1266271.4436363636,282.27,3.24
264.0,2613135.936748466,1266164.7548466255,282.27,7.2
265.0,2612626.094285714,1266026.9252380952,282.25,3.66
266.0,2612666.7761988305,1266041.58877193,282.24,7.38
267.0,2612650.27516129,1266026.9670967744,282.23,4.44
268.0,2612379.0098076924,1266139.065576923,282.21,5.75
